,type,week,power,month,time,year,power_kWh,cost
0,Desktop,03 Jul - 10 Jul,69864.82999999968,Jul,00:00:20,2020,68.75099999999945,13.58299999999978
1,Desktop,10 Jul - 17 Jul,69779.56999999986,Jul,00:00:20,2020,68.65699999999936,13.571999999999775
2,Desktop,17 Jul - 24 Jul,70939.10999999968,Jul,00:00:20,2020,69.81799999999934,13.77599999999977
3,Desktop,26 Jun - 03 Jul,78080.51999999986,Jun,00:00:20,2020,76.9489999999996,15.232999999999777
4,Fan,03 Jul - 10 Jul,12458.86000000014,Jul,00:00:20,2020,11.279999999999914,2.095999999999932
5,Fan,10 Jul - 17 Jul,11862.490000000007,Jul,00:00:20,2020,10.655999999999924,1.964999999999942
6,Fan,17 Jul - 24 Jul,12736.110000000082,Jul,00:00:20,2020,11.604999999999919,2.1229999999999296
7,Fan,26 Jun - 03 Jul,13489.570000000134,Jun,00:00:20,2020,12.36899999999992,2.304999999999913
8,Laptop,03 Jul - 10 Jul,43576.77999999977,Jul,00:00:20,2020,42.43199999999992,8.340999999999765
9,Laptop,10 Jul - 17 Jul,41958.210000000094,Jul,00:00:20,2020,40.81999999999996,8.006999999999751
10,Laptop,17 Jul - 24 Jul,43728.57,Jul,00:00:20,2020,42.59000000000001,8.34199999999975
11,Laptop,26 Jun - 03 Jul,45643.299999999785,Jun,00:00:20,2020,44.495999999999974,8.754999999999736
12,Monitor,03 Jul - 10 Jul,56618.85000000004,Jul,00:00:20,2020,55.482999999999855,10.948000000000158
13,Monitor,10 Jul - 17 Jul,56182.80999999992,Jul,00:00:20,2020,55.05300000000004,10.838000000000127
14,Monitor,17 Jul - 24 Jul,55405.3399999999,Jul,00:00:20,2020,54.26500000000009,10.694000000000141
15,Monitor,26 Jun - 03 Jul,61249.74999999991,Jun,00:00:20,2020,60.08600000000018,11.869000000000232
16,Others,03 Jul - 10 Jul,19264.77000000006,Jul,00:00:20,2020,18.148999999999937,3.452999999999855
17,Others,10 Jul - 17 Jul,18978.560000000045,Jul,00:00:20,2020,17.82099999999989,3.4059999999998594
18,Others,17 Jul - 24 Jul,18923.930000000128,Jul,00:00:20,2020,17.780999999999892,3.3859999999998633
19,Others,26 Jun - 03 Jul,20888.90000000018,Jun,00:00:20,2020,19.779000000000128,3.771999999999833
20,Tasklamp,03 Jul - 10 Jul,15565.190000000099,Jul,00:00:20,2020,14.391999999999792,2.7279999999998896
21,Tasklamp,10 Jul - 17 Jul,15592.34000000007,Jul,00:00:20,2020,14.473999999999773,2.7189999999998893
22,Tasklamp,17 Jul - 24 Jul,15631.150000000118,Jul,00:00:20,2020,14.481999999999774,2.749999999999893
23,Tasklamp,26 Jun - 03 Jul,16648.380000000092,Jun,00:00:20,2020,15.535999999999827,2.9389999999998713
