room,total,time
room 1,-98.67,3 Aug
room 2,121.58,3 Aug
room 3,-116.72,3 Aug
room 4,69.33,3 Aug
room 5,-36.44,3 Aug
room 1,102.33,10 Aug
room 2,147.51,10 Aug
room 3,112.39,10 Aug
room 4,-50.21,10 Aug
room 5,-129.77,10 Aug
room 1,102.33,17 Aug
room 2,147.51,17 Aug
room 3,112.39,17 Aug
room 4,-50.21,17 Aug
room 5,-129.77,17 Aug
room 1,102.33,24 Aug
room 2,147.51,24 Aug
room 3,112.39,24 Aug
room 4,-50.21,24 Aug
room 5,-129.77,24 Aug
room 1,102.33,31 Aug
room 2,147.51,31 Aug
room 3,112.39,31 Aug
room 4,-50.21,31 Aug
room 5,-129.77,31 Aug
